"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Giovani Bernard",4800,"Sea@Cin 01:00PM ET",14.550,"Cin"
"RB","Doug Martin",4700,"Jax@TB 01:00PM ET",12.525,"TB"
"WR","Michael Crabtree",4600,"Den@Oak 04:25PM ET",14.600,"Oak"
"WR","Percy Harvin",4600,"Buf@Ten 01:00PM ET",12.500,"Buf"
"RB","Danny Woodhead",4600,"Pit@SD 08:30PM ET",15.675,"SD"
"TE","Tyler Eifert",4600,"Sea@Cin 01:00PM ET",14.800,"Cin"
"RB","Duke Johnson Jr.",4600,"Cle@Bal 01:00PM ET",10.650,"Cle"
"TE","Jason Witten",4500,"NE@Dal 04:25PM ET",15.200,"Dal"
"RB","DeAngelo Williams",4500,"Pit@SD 08:30PM ET",12.275,"Pit"
"WR","Victor Cruz",4500,"SF@NYG 08:30PM ET",0,"NYG"
"RB","Rashad Jennings",4500,"SF@NYG 08:30PM ET",10.375,"NYG"
"RB","LeGarrette Blount",4500,"NE@Dal 04:25PM ET",14.300,"NE"
"WR","Travis Benjamin",4500,"Cle@Bal 01:00PM ET",20.200,"Cle"
"TE","Jordan Reed",4500,"Was@Atl 01:00PM ET",14.200,"Was"
"WR","Allen Hurns",4500,"Jax@TB 01:00PM ET",16.850,"Jax"
"TE","Julius Thomas",4500,"Jax@TB 01:00PM ET",0,"Jax"
"WR","Davante Adams",4500,"StL@GB 01:00PM ET",6.067,"GB"
"WR","Breshad Perriman",4500,"Cle@Bal 01:00PM ET",0,"Bal"
"WR","Anquan Boldin",4400,"SF@NYG 08:30PM ET",8.350,"SF"
"RB","Chris Johnson",4400,"Ari@Det 04:05PM ET",13.575,"Ari"
"WR","Rueben Randle",4400,"SF@NYG 08:30PM ET",11.625,"NYG"
"RB","T.J. Yeldon",4400,"Jax@TB 01:00PM ET",10.775,"Jax"
"WR","Marques Colston",4300,"NO@Phi 01:00PM ET",7.850,"NO"
"WR","Terrance Williams",4300,"NE@Dal 04:25PM ET",10.825,"Dal"
"WR","Tavon Austin",4300,"StL@GB 01:00PM ET",14.875,"StL"
"RB","David Johnson",4300,"Ari@Det 04:05PM ET",13.550,"Ari"
"RB","Todd Gurley",4300,"StL@GB 01:00PM ET",11.750,"StL"
"RB","Darren Sproles",4200,"NO@Phi 01:00PM ET",11.700,"Phi"
"TE","Antonio Gates",4200,"Pit@SD 08:30PM ET",0,"SD"
"WR","Torrey Smith",4200,"SF@NYG 08:30PM ET",9.625,"SF"
"WR","Doug Baldwin",4200,"Sea@Cin 01:00PM ET",12.950,"Sea"
"RB","Shane Vereen",4200,"SF@NYG 08:30PM ET",7.975,"NYG"
"RB","Bishop Sankey",4200,"Buf@Ten 01:00PM ET",10.967,"Ten"
"WR","Nelson Agholor",4200,"NO@Phi 01:00PM ET",4.000,"Phi"
"RB","Tevin Coleman",4200,"Was@Atl 01:00PM ET",8.600,"Atl"
"TE","Charles Clay",4100,"Buf@Ten 01:00PM ET",15.375,"Buf"
"RB","Ameer Abdullah",4100,"Ari@Det 04:05PM ET",10.200,"Det"
"RB","Isaiah Crowell",4100,"Cle@Bal 01:00PM ET",9.400,"Cle"
"DST","Seahawks ",4000,"Sea@Cin 01:00PM ET",12.500,"Sea"
"WR","Stevie Johnson",4000,"Pit@SD 08:30PM ET",12.625,"SD"
"WR","Kenny Britt",4000,"StL@GB 01:00PM ET",9.575,"StL"
"RB","Alfred Morris",4000,"Was@Atl 01:00PM ET",8.675,"Was"
"WR","Leonard Hankerson",4000,"Was@Atl 01:00PM ET",14.025,"Atl"
"RB","Matt Jones",4000,"Was@Atl 01:00PM ET",9.575,"Was"
"RB","Lance Dunbar",3900,"NE@Dal 04:25PM ET",13.050,"Dal"
"DST","Cardinals ",3800,"Ari@Det 04:05PM ET",13.000,"Ari"
"TE","Delanie Walker",3800,"Buf@Ten 01:00PM ET",13.550,"Ten"
"TE","Gary Barnidge",3800,"Cle@Bal 01:00PM ET",13.625,"Cle"
"RB","C.J. Spiller",3800,"NO@Phi 01:00PM ET",10.033,"NO"
"WR","Kamar Aiken",3800,"Cle@Bal 01:00PM ET",8.125,"Bal"
"WR","Martavis Bryant",3800,"Pit@SD 08:30PM ET",0,"Pit"
"RB","Thomas Rawls",3800,"Sea@Cin 01:00PM ET",4.900,"Sea"
"WR","Eddie Royal",3700,"Chi@KC 01:00PM ET",9.000,"Chi"
"WR","Marvin Jones",3700,"Sea@Cin 01:00PM ET",9.850,"Cin"
"RB","Tre Mason",3700,"StL@GB 01:00PM ET",3.000,"StL"
"TE","Eric Ebron",3700,"Ari@Det 04:05PM ET",11.225,"Det"
"DST","Broncos ",3600,"Den@Oak 04:25PM ET",16.000,"Den"
"RB","Reggie Bush",3600,"SF@NYG 08:30PM ET",1.200,"SF"
"WR","Danny Amendola",3600,"NE@Dal 04:25PM ET",7.833,"NE"
"RB","Charles Sims",3600,"Jax@TB 01:00PM ET",10.300,"TB"
"TE","Austin Seferian-Jenkins",3600,"Jax@TB 01:00PM ET",17.950,"TB"
"WR","Roddy White",3500,"Was@Atl 01:00PM ET",3.800,"Atl"
"WR","Malcom Floyd",3500,"Pit@SD 08:30PM ET",7.675,"SD"
"WR","Darrius Heyward-Bey",3500,"Pit@SD 08:30PM ET",11.375,"Pit"
"RB","James Starks",3500,"StL@GB 01:00PM ET",6.450,"GB"
"RB","Ryan Mathews",3500,"NO@Phi 01:00PM ET",8.900,"Phi"
"WR","Jermaine Kearse",3500,"Sea@Cin 01:00PM ET",9.900,"Sea"
"RB","Trey Watts",3500,"StL@GB 01:00PM ET",0,"StL"
"RB","Joique Bell",3500,"Ari@Det 04:05PM ET",5.767,"Det"
"RB","Antonio Andrews",3500,"Buf@Ten 01:00PM ET",13.100,"Ten"
"WR","Jamison Crowder",3500,"Was@Atl 01:00PM ET",7.225,"Was"
"DST","Bills ",3400,"Buf@Ten 01:00PM ET",7.250,"Buf"
"RB","Darren McFadden",3400,"NE@Dal 04:25PM ET",6.075,"Dal"
"WR","Dwayne Harris",3400,"SF@NYG 08:30PM ET",4.300,"NYG"
"WR","Marquess Wilson",3400,"Chi@KC 01:00PM ET",5.975,"Chi"
"WR","Ty Montgomery",3400,"StL@GB 01:00PM ET",5.650,"GB"
"WR","Tyler Lockett",3400,"Sea@Cin 01:00PM ET",8.000,"Sea"
"WR","Seth Roberts",3400,"Den@Oak 04:25PM ET",6.750,"Oak"
"DST","Patriots ",3300,"NE@Dal 04:25PM ET",7.667,"NE"
"TE","Heath Miller",3300,"Pit@SD 08:30PM ET",8.175,"Pit"
"WR","Miles Austin",3300,"NO@Phi 01:00PM ET",4.325,"Phi"
"WR","Riley Cooper",3300,"NO@Phi 01:00PM ET",5.175,"Phi"
"WR","Dontrelle Inman",3300,"Pit@SD 08:30PM ET",3.933,"SD"
"WR","Mohamed Sanu",3300,"Sea@Cin 01:00PM ET",6.425,"Cin"
"WR","Markus Wheaton",3300,"Pit@SD 08:30PM ET",6.400,"Pit"
"RB","Benny Cunningham",3300,"StL@GB 01:00PM ET",7.575,"StL"
"RB","Chris Thompson",3300,"Was@Atl 01:00PM ET",8.850,"Was"
"WR","Joshua Bellamy",3300,"Chi@KC 01:00PM ET",2.950,"Chi"
"RB","James White",3300,"NE@Dal 04:25PM ET",3.700,"NE"
"RB","Terrance West",3300,"Buf@Ten 01:00PM ET",1.550,"Ten"
"TE","Maxx Williams",3300,"Cle@Bal 01:00PM ET",3.850,"Bal"
"WR","Dorial Green-Beckham",3300,"Buf@Ten 01:00PM ET",6.167,"Ten"
"DST","Falcons ",3200,"Was@Atl 01:00PM ET",8.250,"Atl"
"WR","Brian Hartline",3200,"Cle@Bal 01:00PM ET",5.075,"Cle"
"WR","Brian Quick",3200,"StL@GB 01:00PM ET",0.000,"StL"
"TE","Ladarius Green",3200,"Pit@SD 08:30PM ET",14.467,"SD"
"WR","Justin Hunter",3200,"Buf@Ten 01:00PM ET",3.800,"Ten"
"WR","Brandon Coleman",3200,"NO@Phi 01:00PM ET",6.575,"NO"
"WR","Chris Hogan",3200,"Buf@Ten 01:00PM ET",6.150,"Buf"
"RB","Terron Ward",3200,"Was@Atl 01:00PM ET",4.475,"Atl"
"WR","Darren Waller",3200,"Cle@Bal 01:00PM ET",0.675,"Bal"
"DST","Packers ",3100,"StL@GB 01:00PM ET",8.500,"GB"
"DST","Chargers ",3100,"Pit@SD 08:30PM ET",4.250,"SD"
"WR","Dwayne Bowe",3100,"Cle@Bal 01:00PM ET",0.000,"Cle"
"WR","Cole Beasley",3100,"NE@Dal 04:25PM ET",8.600,"Dal"
"TE","Crockett Gillmore",3100,"Cle@Bal 01:00PM ET",12.367,"Bal"
"RB","Andre Williams",3100,"SF@NYG 08:30PM ET",5.025,"NYG"
"WR","Robert Woods",3100,"Buf@Ten 01:00PM ET",8.200,"Buf"
"WR","Chris Conley",3100,"Chi@KC 01:00PM ET",2.475,"KC"
"DST","Titans ",3000,"Buf@Ten 01:00PM ET",7.333,"Ten"
"DST","Eagles ",3000,"NO@Phi 01:00PM ET",8.000,"Phi"
"WR","Lance Moore",3000,"Ari@Det 04:05PM ET",3.425,"Det"
"WR","Jason Avant",3000,"Chi@KC 01:00PM ET",2.775,"KC"
"TE","Vernon Davis",3000,"SF@NYG 08:30PM ET",6.300,"SF"
"WR","Devin Hester",3000,"Was@Atl 01:00PM ET",0,"Atl"
"WR","Andre Caldwell",3000,"Den@Oak 04:25PM ET",0.975,"Den"
"RB","Tyler Clutts",3000,"NE@Dal 04:25PM ET",0.350,"Dal"
"WR","Harry Douglas",3000,"Buf@Ten 01:00PM ET",5.567,"Ten"
"WR","Eric Weems",3000,"Was@Atl 01:00PM ET",0.000,"Atl"
"WR","Matthew Slater",3000,"NE@Dal 04:25PM ET",0.000,"NE"
"RB","Jerome Felton",3000,"Buf@Ten 01:00PM ET",0.000,"Buf"
"WR","Marcus Thigpen",3000,"Buf@Ten 01:00PM ET",0.000,"Buf"
"RB","Cedric Peerman",3000,"Sea@Cin 01:00PM ET",0.000,"Cin"
"WR","Andrew Hawkins",3000,"Cle@Bal 01:00PM ET",5.300,"Cle"
"RB","John Kuhn",3000,"StL@GB 01:00PM ET",1.975,"GB"
"WR","Seyi Ajirotutu",3000,"NO@Phi 01:00PM ET",0.000,"Phi"
"WR","Marlon Moore",3000,"Cle@Bal 01:00PM ET",0.625,"Cle"
"WR","Brandon Tate",3000,"Sea@Cin 01:00PM ET",3.125,"Cin"
"RB","Darrel Young",3000,"Was@Atl 01:00PM ET",0.300,"Was"
"WR","Louis Murphy",3000,"Jax@TB 01:00PM ET",6.475,"TB"
"TE","Jared Cook",3000,"StL@GB 01:00PM ET",7.525,"StL"
"RB","Jorvorskie Lane",3000,"Jax@TB 01:00PM ET",0.000,"TB"
"WR","Jordan Norwood",3000,"Den@Oak 04:25PM ET",3.650,"Den"
"RB","Shaun Draughn",3000,"Cle@Bal 01:00PM ET",0.775,"Cle"
"RB","Marcel Reece",3000,"Den@Oak 04:25PM ET",7.600,"Oak"
"RB","Bruce Miller",3000,"SF@NYG 08:30PM ET",0.425,"SF"
"WR","Marc Mariani",3000,"Chi@KC 01:00PM ET",0.000,"Chi"
"WR","Bryan Walters",3000,"Jax@TB 01:00PM ET",4.400,"Jax"
"WR","Andre Roberts",3000,"Was@Atl 01:00PM ET",3.467,"Was"
"WR","Jacoby Jones",3000,"Pit@SD 08:30PM ET",0.000,"SD"
"RB","Fred Jackson",3000,"Sea@Cin 01:00PM ET",6.025,"Sea"
"RB","Boobie Dixon",3000,"Buf@Ten 01:00PM ET",2.500,"Buf"
"RB","Toby Gerhart",3000,"Jax@TB 01:00PM ET",0.400,"Jax"
"RB","Chase Reynolds",3000,"StL@GB 01:00PM ET",0.000,"StL"
"WR","Joseph Morgan",3000,"NO@Phi 01:00PM ET",0.000,"NO"
"RB","Dexter McCluster",3000,"Buf@Ten 01:00PM ET",7.467,"Ten"
"WR","Marcus Easley",3000,"Buf@Ten 01:00PM ET",0.000,"Buf"
"RB","Taiwan Jones",3000,"Den@Oak 04:25PM ET",2.300,"Oak"
"WR","Greg Little",3000,"Sea@Cin 01:00PM ET",0,"Cin"
"RB","Anthony Sherman",3000,"Chi@KC 01:00PM ET",0.250,"KC"
"RB","Will Tukuafu",3000,"Sea@Cin 01:00PM ET",0.000,"Sea"
"RB","Robert Turbin",3000,"Cle@Bal 01:00PM ET",0,"Cle"
"RB","Will Johnson",3000,"Pit@SD 08:30PM ET",1.675,"Pit"
"RB","Bobby Rainey",3000,"Jax@TB 01:00PM ET",1.050,"TB"
"RB","Roy Helu Jr.",3000,"Den@Oak 04:25PM ET",4.567,"Oak"
"RB","Patrick DiMarco",3000,"Was@Atl 01:00PM ET",1.075,"Atl"
"RB","Austin Johnson",3000,"NO@Phi 01:00PM ET",2.350,"NO"
"WR","Michael Floyd",3000,"Ari@Det 04:05PM ET",3.975,"Ari"
"RB","Jacquizz Rodgers",3000,"Chi@KC 01:00PM ET",1.450,"Chi"
"RB","Jarryd Hayne",3000,"SF@NYG 08:30PM ET",0.575,"SF"
"RB","Kenjon Barner",3000,"NO@Phi 01:00PM ET",0.000,"Phi"
"WR","Brice Butler",3000,"NE@Dal 04:25PM ET",2.567,"Dal"
"RB","Derrick Coleman",3000,"Sea@Cin 01:00PM ET",0.300,"Sea"
"WR","Frankie Hammond Jr.",3000,"Chi@KC 01:00PM ET",0.000,"KC"
"WR","Jaron Brown",3000,"Ari@Det 04:05PM ET",3.700,"Ari"
"WR","Chris Givens",3000,"Cle@Bal 01:00PM ET",1.367,"Bal"
"WR","Keshawn Martin",3000,"NE@Dal 04:25PM ET",12.300,"NE"
"WR","B.J. Daniels",3000,"Sea@Cin 01:00PM ET",2.200,"Sea"
"RB","Jordan Todman",3000,"Pit@SD 08:30PM ET",0.275,"Pit"
"RB","Brandon Bolden",3000,"NE@Dal 04:25PM ET",1.200,"NE"
"WR","Russell Shepard",3000,"Jax@TB 01:00PM ET",0.533,"TB"
"RB","Knile Davis",3000,"Chi@KC 01:00PM ET",2.675,"KC"
"WR","Ryan Grant",3000,"Was@Atl 01:00PM ET",5.600,"Was"
"RB","Rex Burkhead",3000,"Sea@Cin 01:00PM ET",2.225,"Cin"
"RB","Nikita Whitlock",3000,"SF@NYG 08:30PM ET",0.000,"NYG"
"RB","Kyle Juszczyk",3000,"Cle@Bal 01:00PM ET",3.050,"Bal"
"RB","Stepfan Taylor",3000,"Ari@Det 04:05PM ET",0.150,"Ari"
"WR","Tony Washington",3000,"Jax@TB 01:00PM ET",0.400,"Jax"
"RB","Branden Oliver",3000,"Pit@SD 08:30PM ET",1.475,"SD"
"WR","Dri Archer",3000,"Pit@SD 08:30PM ET",0.000,"Pit"
"WR","Marquise Goodwin",3000,"Buf@Ten 01:00PM ET",0,"Buf"
"RB","Theo Riddick",3000,"Ari@Det 04:05PM ET",10.875,"Det"
"RB","Cierre Wood",3000,"Buf@Ten 01:00PM ET",0.400,"Buf"
"WR","Ricardo Lockette",3000,"Sea@Cin 01:00PM ET",0.825,"Sea"
"RB","Christine Michael",3000,"NE@Dal 04:25PM ET",-0.100,"Dal"
"RB","Denard Robinson",3000,"Jax@TB 01:00PM ET",3.700,"Jax"
"WR","Bennie Fowler",3000,"Den@Oak 04:25PM ET",2.775,"Den"
"WR","Jared Abbrederis",3000,"StL@GB 01:00PM ET",0,"GB"
"WR","Nick Williams",3000,"Was@Atl 01:00PM ET",1.775,"Atl"
"WR","Devin Street",3000,"NE@Dal 04:25PM ET",0.700,"Dal"
"WR","Marlon Brown",3000,"Cle@Bal 01:00PM ET",3.875,"Bal"
"WR","Chris Matthews",3000,"Sea@Cin 01:00PM ET",1.800,"Sea"
"WR","Aaron Dobson",3000,"NE@Dal 04:25PM ET",6.367,"NE"
"RB","Bernard Pierce",3000,"Jax@TB 01:00PM ET",1.050,"Jax"
"WR","Stedman Bailey",3000,"StL@GB 01:00PM ET",5.200,"StL"
"RB","Jalston Fowler",3000,"Buf@Ten 01:00PM ET",3.367,"Ten"
"WR","TJ Jones",3000,"Ari@Det 04:05PM ET",0.000,"Det"
"RB","Orleans Darkwa",3000,"SF@NYG 08:30PM ET",0.000,"NYG"
"RB","Roosevelt Nix",3000,"Pit@SD 08:30PM ET",0.000,"Pit"
"WR","Rod Streater",3000,"Den@Oak 04:25PM ET",1.800,"Oak"
"RB","Marcus Murphy",3000,"NO@Phi 01:00PM ET",1.500,"NO"
"RB","Malcolm Johnson",3000,"Cle@Bal 01:00PM ET",0.850,"Cle"
"WR","Josh Huff",3000,"NO@Phi 01:00PM ET",2.633,"Phi"
"RB","Juwan Thompson",3000,"Den@Oak 04:25PM ET",0.275,"Den"
"RB","Michael Burton",3000,"Ari@Det 04:05PM ET",0.375,"Det"
"WR","Albert Wilson",3000,"Chi@KC 01:00PM ET",1.833,"KC"
"RB","Corey Grant",3000,"Jax@TB 01:00PM ET",1.000,"Jax"
"WR","DeAndrew White",3000,"SF@NYG 08:30PM ET",1.900,"SF"
"RB","Jeremy Langford",3000,"Chi@KC 01:00PM ET",2.150,"Chi"
"WR","Justin Hardy",3000,"Was@Atl 01:00PM ET",0,"Atl"
"WR","J.J. Nelson",3000,"Ari@Det 04:05PM ET",-0.500,"Ari"
"WR","Andre Holmes",3000,"Den@Oak 04:25PM ET",3.825,"Oak"
"WR","Corey Fuller",3000,"Ari@Det 04:05PM ET",0.000,"Det"
"WR","Geremy Davis",3000,"SF@NYG 08:30PM ET",0.375,"NYG"
"RB","Jamize Olawale",3000,"Den@Oak 04:25PM ET",2.700,"Oak"
"WR","Cameron Meredith",3000,"Chi@KC 01:00PM ET",2.200,"Chi"
"RB","Zach Zenner",3000,"Ari@Det 04:05PM ET",0.725,"Det"
"WR","Willie Snead",3000,"NO@Phi 01:00PM ET",11.250,"NO"
"WR","Quinton Patton",3000,"SF@NYG 08:30PM ET",3.875,"SF"
"WR","Sammie Coates",3000,"Pit@SD 08:30PM ET",1.050,"Pit"
"RB","Ka'Deem Carey",3000,"Chi@KC 01:00PM ET",0.000,"Chi"
"WR","Rashad Ross",3000,"Was@Atl 01:00PM ET",5.333,"Was"
"RB","Javorius Allen",3000,"Cle@Bal 01:00PM ET",2.300,"Bal"
"WR","Marqise Lee",3000,"Jax@TB 01:00PM ET",4.100,"Jax"
"WR","Adam Humphries",3000,"Jax@TB 01:00PM ET",1.133,"TB"
"RB","Alonzo Harris",3000,"StL@GB 01:00PM ET",0.850,"GB"
"WR","Bruce Ellington",3000,"SF@NYG 08:30PM ET",1.250,"SF"
"RB","Aaron Ripkowski",3000,"StL@GB 01:00PM ET",0.000,"GB"
"WR","Bradley Marquez",3000,"StL@GB 01:00PM ET",0.000,"StL"
"WR","De'Anthony Thomas",3000,"Chi@KC 01:00PM ET",2.325,"KC"
"WR","Cody Latimer",3000,"Den@Oak 04:25PM ET",0.000,"Den"
"WR","Brittan Golden",3000,"Ari@Det 04:05PM ET",0.000,"Ari"
"RB","Mike Davis",3000,"SF@NYG 08:30PM ET",2.950,"SF"
"RB","Lorenzo Taliaferro",3000,"Cle@Bal 01:00PM ET",6.200,"Bal"
"WR","Lucky Whitehead",3000,"NE@Dal 04:25PM ET",0.000,"Dal"
"RB","Khiry Robinson",3000,"NO@Phi 01:00PM ET",9.700,"NO"
"WR","Mario Alford",3000,"Sea@Cin 01:00PM ET",0,"Cin"
"WR","Taylor Gabriel",3000,"Cle@Bal 01:00PM ET",4.675,"Cle"
"RB","Charcandrick West",3000,"Chi@KC 01:00PM ET",0.775,"KC"
"WR","Jeff Janis",3000,"StL@GB 01:00PM ET",0.000,"GB"
"DST","Giants ",2900,"SF@NYG 08:30PM ET",8.750,"NYG"
"DST","Ravens ",2900,"Cle@Bal 01:00PM ET",7.750,"Bal"
"TE","Marcedes Lewis",2900,"Jax@TB 01:00PM ET",2.250,"Jax"
"TE","Larry Donnell",2900,"SF@NYG 08:30PM ET",8.225,"NYG"
"TE","Zach Ertz",2900,"NO@Phi 01:00PM ET",5.100,"Phi"
"TE","Richard Rodgers",2900,"StL@GB 01:00PM ET",9.775,"GB"
"DST","Bengals ",2800,"Sea@Cin 01:00PM ET",7.750,"Cin"
"DST","Chiefs ",2800,"Chi@KC 01:00PM ET",3.500,"KC"
"DST","Steelers ",2800,"Pit@SD 08:30PM ET",7.250,"Pit"
"DST","Jaguars ",2700,"Jax@TB 01:00PM ET",4.000,"Jax"
"TE","Owen Daniels",2700,"Den@Oak 04:25PM ET",7.525,"Den"
"DST","Browns ",2600,"Cle@Bal 01:00PM ET",6.000,"Cle"
"DST","Raiders ",2600,"Den@Oak 04:25PM ET",6.250,"Oak"
"DST","Cowboys ",2500,"NE@Dal 04:25PM ET",5.250,"Dal"
"DST","Lions ",2500,"Ari@Det 04:05PM ET",10.750,"Det"
"DST","Buccaneers ",2500,"Jax@TB 01:00PM ET",5.000,"TB"
"TE","Mike Leach",2500,"Ari@Det 04:05PM ET",0.000,"Ari"
"TE","Daniel Fells",2500,"SF@NYG 08:30PM ET",6.000,"NYG"
"TE","Craig Stevens",2500,"Buf@Ten 01:00PM ET",2.400,"Ten"
"TE","Scott Chandler",2500,"NE@Dal 04:25PM ET",5.633,"NE"
"TE","Matt Spaeth",2500,"Pit@SD 08:30PM ET",0.000,"Pit"
"TE","Clark Harris",2500,"Sea@Cin 01:00PM ET",0.000,"Cin"
